# ep clk heldts dheldts toff accoff runmax thr nxcd nnewpk nsync pkts rxframes
0 99355 12324 -1 12324 12324 0 200769022 1 1 0 0 0
1 198403 24609 12285 12276 12276 0 201016125 1 1 1 1 0
2 297163 36930 12321 12264 12264 0 206490719 1 1 1 2 1
3 395827 49263 12333 12264 12264 0 200794649 1 1 1 3 2
4 494491 61596 12333 12264 12264 0 201870909 1 1 1 4 3
5 593155 73929 12333 12264 12264 0 200791442 1 1 1 5 4
6 691819 86262 12333 12264 12264 0 202470158 1 1 1 6 5
7 790483 98595 12333 12264 12264 0 200774301 1 1 1 7 6
8 889147 110928 12333 12264 12264 0 202006704 1 1 1 8 7
9 987811 123261 12333 12264 12264 0 200775710 1 1 1 9 8
10 1086475 135594 12333 12264 12264 0 202450774 1 1 1 10 9
11 1185139 147927 12333 12264 12264 0 200798381 1 1 1 11 10
12 1283803 160260 12333 12264 12264 0 201809445 1 1 1 12 11
13 1382467 172593 12333 12264 12264 0 200674011 1 1 1 13 12
14 1481131 184926 12333 12264 12264 0 202908514 1 1 1 14 13
15 1579795 197259 12333 12264 12264 0 200809135 1 1 1 15 14
16 1678459 209592 12333 12264 12264 0 202023856 1 1 1 16 15
17 1777123 221925 12333 12264 12264 0 200818522 1 1 1 17 16
18 1875787 234258 12333 12264 12264 0 201905499 1 1 1 18 17
19 1974451 246591 12333 12264 12264 0 200686678 1 1 1 19 18
20 2073115 258924 12333 12264 12264 0 201839875 1 1 1 20 19
21 2171779 271257 12333 12264 12264 0 200808833 2 2 1 21 20
22 2270443 283590 12333 12264 12264 0 201798143 1 1 1 22 21
23 2369107 295923 12333 12264 12264 0 200823794 1 1 1 23 22
24 2467771 308256 12333 12264 12264 0 201622491 1 1 1 24 23
