# n,sidx,beat,slot_rtl,slot_harness,dt_enb,occ,tref,locked,opens,kind
0,641562,641561,1,1,3,2,12178,1,8,0
1,690894,690893,1,1,3,3,12177,1,9,0
2,740230,740229,1,1,3,4,12177,1,10,0
3,789566,789565,1,1,3,5,12177,1,11,0
4,838902,838901,1,1,3,7,12177,1,12,0
5,888238,888237,1,1,3,8,12177,1,13,0
6,937574,937573,1,1,3,9,12177,1,14,0
1,6512028,6512027,12317,12317,49265,23,12160,1,126,1
2,6906680,6906679,12317,12317,49265,23,12159,1,134,1
3,7350664,7350663,12317,12317,49265,23,12158,1,143,1
4,7745316,7745315,12317,12317,49265,23,12157,1,151,1
5,8139968,8139967,12317,12317,49265,23,12156,1,159,1
6,8534620,8534619,12317,12317,49265,23,12155,1,167,1
7,8929272,8929271,12317,12317,49265,23,12154,1,175,1
8,9323924,9323923,12317,12317,49265,23,12153,1,183,1
9,9718576,9718575,12317,12317,49265,23,12152,1,191,1
10,10113228,10113227,12317,12317,49265,23,12151,1,199,1
11,10507880,10507879,12317,12317,49265,23,12150,1,207,1
12,10902532,10902531,12317,12317,49265,23,12149,1,215,1
13,11346516,11346515,12317,12317,49265,23,12148,1,224,1
14,11741168,11741167,12317,12317,49265,23,12147,1,232,1
15,12135820,12135819,12317,12317,49265,23,12146,1,240,1
16,12530472,12530471,12317,12317,49265,23,12145,1,248,1
17,12925124,12925123,12317,12317,49265,23,12144,1,256,1
18,13319776,13319775,12317,12317,49265,23,12143,1,264,1
19,13714428,13714427,12317,12317,49265,23,12142,1,272,1
20,14109080,14109079,12317,12317,49265,23,12141,1,280,1
21,14503732,14503731,12317,12317,49265,23,12140,1,288,1
22,14947716,14947715,12317,12317,49265,23,12139,1,297,1
23,15342368,15342367,12317,12317,49265,23,12138,1,305,1
24,15737020,15737019,12317,12317,49265,23,12137,1,313,1
25,16131672,16131671,12317,12317,49265,23,12136,1,321,1
26,16526324,16526323,12317,12317,49265,23,12135,1,329,1
27,16920976,16920975,12317,12317,49265,23,12134,1,337,1
28,17315628,17315627,12317,12317,49265,23,12133,1,345,1
29,17710280,17710279,12317,12317,49265,23,12132,1,353,1
30,18104932,18104931,12317,12317,49265,23,12131,1,361,1
31,18548916,18548915,12317,12317,49265,23,12130,1,370,1
32,18943568,18943567,12317,12317,49265,23,12129,1,378,1
33,19338220,19338219,12317,12317,49265,23,12128,1,386,1
34,19732872,19732871,12317,12317,49265,23,12127,1,394,1
35,20127524,20127523,12317,12317,49265,23,12126,1,402,1
36,20522176,20522175,12317,12317,49265,23,12125,1,410,1
37,20916828,20916827,12317,12317,49265,23,12124,1,418,1
